a	art. 一（个）；每一（个）
adult	adj. 成年的； 成年人的， 适宜于成年人的 n. 成年人
advance	v. 前进；提高 n. 进展
advanced	adj. 先进的； 高级的； 年迈的； 后阶段的
advancement	n. 进步，提升
advantage	n. 优点， 优势， 好处
adventure	n. 奇遇； 冒险， 冒险活动
adverb	n. 副词
adversity	n. 逆境，不幸
advertise	vt. 为…做广告， 宣传； 公告； 登广告
advertisement	n. 广告， 公告， 登广告； 广告活动， 宣传
advice	n. 劝告；忠告；意见
advisable	adj. 明智的， 可取的
advise	v. 劝告；建议；通知
advisory	n. 报告，警告
advocate	vt. 拥护， 提倡， 主张 n. 拥护者， 提倡者； 辩护者， 律师
advocator	n. 主张者，倡导者
aeroplane	n. 飞机
affair	n. 事务；事情，事件
affect	vt. 影响； 感动
affection	n. 感情； 爱， 爱慕
affectionate	adj. 深情的，柔情的
affirm	v. 断言，声明
affirmation	n. 断言，肯定
afford	vt. 担负得起； 提供
afraid	adj. 害怕的；担心的
Africa	n. 非洲
African	adj. 非洲的 n. 非洲人
after	prep. 在…以后；次于
afternoon	n. 下午，午后
afterward	adv. 后来， 以后
again	adv. 又一次；而且
against	prep. 倚在；逆，对着
age	n. 年龄；时代 v. 变老
agency	n. 经办， 代理； 代理处； 专门行政部门
agenda	n. 议事日程
agent	n. 代理人， 代理商； 政府代表； 动因， 原因； 剂
aggressive	adj. 侵略的， 好斗的； 敢做敢为的； 有进取心的
ago	adv. 以前
agony	n. 极度痛苦
agree	v. 同意；持相同意见
agreement	n. 协定，协议；同意
agriculture	n. 农业，农艺；农学
ahead	adv. 向前；在前；提前
aid	n. 帮助； 救护； 助手； 辅助手段
aim	v. 瞄准；针对；致力
air	n. 空气；空中
aircraft	n. 飞机， 飞行器
airline	n. 航空公司； 航线
airplane	n. 飞机
airport	n. 机场， 航空港
alarm	n. 惊恐；忧虑；警报 vt. 使惊恐； 使担心
album	n. 粘贴簿，集邮簿，册
alcohol	n. 酒精， 乙醇
alert	adj. 警觉的，留神的，注意的 vt. 使认识到，使意识到 n. 警戒， 戒备； 警报
alike	adv. 一样地， 相似地； 同样程度地 adj. 同样的，相同的
alive	adj. 活着的；活跃的
all	det. 全部的 pron. 全部
alliance	n. 结盟， 联盟
allocate	vt. 分配， 分派， 把…拨给
allow	vt. 允许， 准许； 同意给； 承认； 允许…进入
allowance	n. 津贴， 补贴； 零用钱
alloy	n. 合金；（金属的）成色
ally	v. 结盟， 联合 n. 同盟国， 同盟者； 支持者
almost	adv. 几乎，差不多
alone	adj. 单独的 adv. 单独地
along	prep. 沿着 adv. 向前
alongside	adv. 在旁边，沿着边，并排地 prep. 在…旁边， 沿着…的边； 和…在一起
aloud	adv. 出声地；大声地
alphabet	n. 字母表， 字母系统
already	adv. 早已，已经
also	adv. 而且，还；亦，也
alter	vt. 改变， 变更， 变动
alternative	adj. 两者选一的， 供选择的； 另类的 n. 替换物，选择；选择的自由
although	conj. 尽管，虽然
altitude	n. 海拔， 高度； 高处
altogether	adv. 完全；总而言之
aluminium	n. 铝
always	adv. 总是，一直；永远
amateur	adj. 业余爱好的， 业余的； 外行的 n. 业余爱好者；外行
amaze	vt. 使惊奇， 使惊愕
ambassador	n. 大使， 使节， 派驻国际组织的代表
ambition	n. 雄心， 抱负； 野心； 期望得到的东西
ambitious	adj. 有雄心的，野心勃勃的
ambulance	n. 救护车； 野战医院
America	n. 美洲；美国
American	adj. 美洲的 n. 美国人
amid	prep. 在…中间， 在…之中， 被…围绕
among	prep. 在…之中
amongst	prep. 在…之中（among）
amount	n. 总数；数量；和
ampere	n. 安培
amplify	v. 放大，扩大；增强
amuse	vt. 逗…乐， 给…娱乐
amusing	adj. 有趣的，好玩儿的
analyse	vt. 分析； 分解； 解析
analysis	n. 分析， 分析报告； 分解； 解析
analyze	v. 分析
ancestor	n. 祖宗， 祖先； 原型； 先驱
anchor	v. 抛锚， 停泊； 把…系住， 使固定； 担任主持人； 固定， 扎根 n. 锚；给人安全感的物
ancient	adj. 古代的， 古老的； 年老的， 看上去很老的
and	conj. 和，又，并；则，那么
angel	n. 天使；安琪儿，天使〔指仁慈、善良或美丽的人〕
anger	n. 怒，愤怒 v. 使发怒
angle	n. 角， 角度； 观点， 立场
angry	adj. 愤怒的，生气的
animal	n. 动物，兽 adj. 兽欲/动物本能等（animal urges/instincts）
ankle	n. 踝， 踝关节
anniversary	n. 周年纪念日
announce	v. 宣布，宣告，发表
announcer	n. 播音员
annoy	v. 使恼怒；打搅；打扰
annual	adj. 每年的，一年一次的 n. 年报， 年鉴； 一年生的植物
annually	adv. 每年，一年一次
anonymous	adj. 匿名的； 无名的； 无特色的
another	det. 再一个的；别的
answer	v. 回答；响应
ant	n. 蚂蚁
anticipate	vt. 预料， 预期， 期望； 先于…行动； 提前使用
antique	adj. 古时的， 过时的 n. 古物，古董
anxiety	n. 焦虑， 忧虑； 渴望， 热望
anxious	adj. 忧虑的， 令人焦急的； 渴望的
any	adj. 什么，一些；任何的
anybody	pron. 任何人
anyhow	adv. 无论如何， 不管怎么说； 随随便便地， 杂乱无章地
anyone	pron. 任何人
anything	pron. 任何事物；一切
anyway	adv. 无论如何， 至少； 不论以何种方式， 无论从什么角度
anywhere	adv. 在什么地方
apart	adv. 成距离，相间隔；分开，除去 adj. 分离的， 分隔的
apartment	n. 一套公寓房间
apologize	vi. 道歉， 谢罪， 认错
apology	n. 道歉， 认错， 谢罪
apparatus	n. 器械，仪器；器官
apparent	adj. 表面上的， 明显的
appeal	vi. 呼吁，恳求；申诉，上诉 vt. 上诉 n. 感染力， 吸引力； 呼吁， 上诉
appealing	adj. 吸引人的
appear	v. 似乎；出现；来到
appearance	n. 出现， 来到； 外观
appetite	n. 食欲， 胃口； 欲望
applause	n. 鼓掌， 掌声
apple	n. 苹果
appliance	n. 用具， 器具， 器械； 家电
applicable	adj. 能应用的； 合适的， 适当的
applicant	n. 申请人
application	n. 申请， 申请书； 施用， 涂抹； 应用， 实施； 实用性
apply	vi. 适用； 申请， 请求； 涂， 敷， 施 vt. 应用，实施；使用；涂敷；把…施于
appoint	vt. 任命， 委任； 约定， 指定
appointment	n. 任命； 约定； 约会； 委任的职位
appreciate	vt. 重视， 赏识； 领会， 体会； 感谢； 增值
appreciation	n. 感激
approach	vt. 向…靠近 n. 靠近
appropriate	adj. 适当的， 恰当的
approval	n. 批准，认可；赞成，同意
approve	vt. 赞成， 称许； 批准
approximate	adj. 近似的 vt. 近似； 估计
approximately	adv. 近似地，大约
April	n. 四月
Arabian	adj. 阿拉伯的
arbitrary	adj. 随心所欲的， 专断的
architect	n. 建筑师， 设计师； 缔造者
architecture	n. 建筑学； 建筑式样， 建筑风格
archive	n. 档案馆，档案室；档案
area	n. 地区；面积；领域
argue	vi. 争辩， 争论 vt. 争论，争辩，辩论；主张；说服
argument	n. 争论， 辩论； 理由； 说理， 论证
arise	vi. 出现； 由…引起； 起身， 起床
arithmetic	n. 算术， 四则运算
arm	n. 臂；臂状物；武器
army	n. 军队；陆军
around	prep. 在…周围
arouse	vt. 引起； 唤起， 唤醒
arrange	v. 安排， 准备， 整理
arrangement	n. 整理， 排列， 安排； 准备工作
arrest	vt. 逮捕，拘留；停止，阻止；吸引 n. 逮捕， 拘留， 扣留
arrival	n. 到达， 到来； 到达者， 到达物
arrive	v. 到达；来临；达到
arrow	n. 箭；箭状物；〔指示方向的〕箭号，箭头（符号）
art	n. 艺术，美术；技术
article	n. 文章；物品；条款
artificial	adj. 人工的， 人为的； 矫揉造作的； 模拟的
artist	n. 艺术家，美术家
artistic	adj. 艺术的， 艺术家的； 富有艺术性的， 精美的； 精彩的
as	conj. 当…的时候
ash	n. 灰， 灰末； 骨灰
ashamed	adj. 惭愧的， 羞耻的， 害臊的
Asia	n. 亚洲
Asian	adj. 亚洲的 n. 亚洲人
aside	adv. 在旁边， 到旁边
ask	v. 问；要求；邀请
asleep	adj. 睡着的，睡熟的
aspect	n. 方面； 朝向， 方向； 样子， 外表
assemble	v. 集合， 召集； 装配
assembly	n. 立法机构； 议会； 集合； 集会的人们； 装配， 组装
assess	vt. 对估价； 评价， 评论
asset	n. 资产， 财产； 有价值的特性或技能， 优点
assign	vt. 指派， 分配， 布置； 指定
assignment	n. 任务， 指定的作业； 分配， 指派
assist	vt. 援助， 帮助， 协助
assistance	n. 协助， 援助
assistant	adj. 助理的， 辅助的 n. 助手，助理，助教
associate	vi. 结合； 交往 adj. 副的 vt. 把…联系在一起；使联合 n. 伙伴，同事
association	n. 协会， 团体； 联合， 交往
assume	vt. 假定， 假设， 臆断； 承担， 担任； 呈现
assumption	n. 假定， 臆断； 担任， 承担
assure	vt. 使确信； 确保， 向…保证
astonish	v. 使惊讶，使大为吃惊
astronaut	n. 宇宙航行员，宇航员
astrophysics	n. 天体物理学
at	prep. 在…里；在…时
athlete	n. 运动员；田径运动员
Atlantic	adj. 大西洋的 n. 大西洋
atmosphere	n. 大气， 空气； 气氛， 环境
atmospheric	adj. 大气的；大气层的
atom	n. 原子；微粒；微量
atomic	adj. 原子的， 原子能的， 原子武器的
attach	vt. 缚， 系， 贴； 附加； 使依恋， 使喜爱； 使附属； 认为有
attack	n. 攻击，打击；突然发作 vt. 攻击， 进攻
attain	vt. 达到， 获得， 完成
attempt	n. 尝试，试图 v. 尝试，试图
attend	v. 出席；照顾，护理
attendance	n. 出席人数
attention	n. 注意，留心；注意力
attentive	adj. 注意的；有礼貌的
attitude	n. 态度， 看法； 姿势
attorney	n. 律师， 代理人
attract	v. 吸引；引起……的兴趣；诱惑
attraction	n. 吸引， 吸引力； 引力； 具有吸引力的事物
attractive	adj. 有吸引力的， 引起注意的
attribute	vt. 把…归因于 n. 属性
audience	n. 听众， 观众， 读者
audio	adj. 听觉的， 声音的
August	n. 八月
aunt	n. 伯母，婶母，姑母
aural	adj. 耳的，听觉的
Australia	n. 澳大利亚
Australian	adj. 澳大利亚的
author	n. 著作家， 作者
authoritative	adj. 权威的
authority	n. 官方； 权力； 当权者， 行政管理机构； 权威， 专家
auto	n. （口语）汽车
automatic	adj. 自动的，机械的；不假思索的，无意识的；必然的，自然的 n. 自动手枪； 有自动装置的汽车
automation	n. 自动，自动化
automobile	n. 汽车， 机动车
autumn	n. 秋，秋季
auxiliary	adj. 辅助的， 附属的； 后备的
avail	v. 有益, 有帮助
available	adj. 现成可使用的， 通用的； 可取的； 联系的； 可得到的
avenue	n. 林荫道， 道路， 大街
average	adj. 平均的；平常的 v. 平均 n. 平均数，平均
aviate	v. 驾驶飞机
aviation	n. 航空，航空学
avoid	vt. 避免， 躲开； 撤销
await	vt. 等候； 期待； 将降临到…身上
awake	adj. 醒着的 v. 唤醒
award	n. 奖，奖品；判定 vt. 授予， 给予； 判给， 裁定
aware	adj. 知道的， 意识到的
awareness	n. 意识
away	adv. 离开，远离；…去
awful	adj. 令人不愉快的， 难过的； 非常的， 极大的
awfully	adv. 令人畏惧的；很
awkward	adj. 笨拙的， 尴尬的； 难操纵的， 使用不便的； 不灵巧的
ax	n. 斧子
axis	n. 轴，轴线；中心线
baby	n. 婴儿；孩子气的人
back	adv. 回原处；回；在后
background	n. 出身背景， 经历； 背景资料； 背景， 底子
backslide	v. 倒退，退步
backward	adv. [-]倒； 向后， 往回 adj. 向后的，倒的；落后的，进步慢的
bacon	n. 咸肉
bacteria	n. 细菌
bad	adj. 坏的，恶的；严重的
badly	adv. 坏，差；严重地
badminton	n. 羽毛球
bag	n. 袋，包，钱包，背包
baggage	n. 行李
bake	v. 烤，烘，焙；烧硬
bakery	n. 面包店
balance	vt. 使平衡；称；权衡，比较 n. 天平； 平衡； 结存， 结欠
balcony	n. 阳台； 楼厅， 楼座
ball	n. 球；球状物；舞会
balloon	n. 气球， 玩具气球
ban	vt. 取缔，查禁；禁止 n. 禁止， 禁令
banana	n. 香蕉；芭蕉属植物
band	n. 乐队；群，伙；带；条纹；波段 vt. 用带绑扎
bang	vi. 猛击， 猛撞； 发出砰的一声， 砰砰地响 n. 巨响，枪声；猛击 vt. 猛击，猛撞；砰地敲
bank	n. 银行；库；沿，堤
bankrupt	adj. 破产的，倒闭的
banner	n. 横幅； 旗， 旗帜
bar	n. 酒吧间；条，杆；栅
barber	n. 理发师
bare	adj. 赤裸的；光秃的，无遮盖的；刚刚够的，勉强的 vt. 露出， 显露
barely	adv. 仅仅， 只不过， 几乎不
bargain	vi. 讨价还价 n. 特价商品；协议，交易
bark	vi. 吠，叫 n. 吠声， 叫声； 树皮
barn	n. 谷仓； 牲口棚
barrel	n. 桶； 圆筒； 枪管
barrier	n. 栅栏； 检票口； 屏障； 障碍， 隔阂
base	n. 基础，底层；基地
baseball	n. 棒球
basic	adj. 基本的，基础的
basically	adv. 基本上， 从根本上说
basin	n. 洗脸盆；盆；盆地
basis	n. 基础， 根据； 原则
basket	n. 篮，篓，筐
basketball	n. 篮球运动；篮球
bat	n. 蝙蝠； 球棒， 球拍
bath	n. 浴，洗澡；浴缸
bathe	v. 洗澡； 游泳
bathroom	n. 浴室；盥洗室
battery	n. 电池， 蓄电池； 排炮， 炮组； 一系列， 一套
battle	n. 战役；斗争 v. 作战
bay	n. 湾； 分隔间
be	v. 是；在
beach	n. 海滩，湖滩，河滩
beam	n. 梁，横梁；束，柱；笑容，喜色 vt. 面露喜色； 定向发出， 播送
bean	n. 豆， 蚕豆
bear	n. 熊；粗鲁的人
beard	n. 胡须， 络腮胡子
bearing	n. 举止， 风度； 方位， 方向感； 影响
beast	n. 兽， 野兽， 牲畜； 凶残的人， 令人厌憎的人
beat	v. 打，敲；打败
beautiful	adj. 美的，美丽的
beauty	n. 美，美丽；美人
because	conj. 由于，因为
become	v. 变得；变成；成为
bed	n. 床，床位；圃；河床
bee	n. 蜂，密蜂；忙碌的人
beef	n. 牛肉；菜牛
beer	n. 啤酒
before	prep. 在…以前
beg	v. 乞求；请求
beggar	n. 乞丐 vt. 使贫穷
begin	v. 开始
beginner	n. 初学者，生手
beginning	n. 开始，开端；起源
behalf	n. 代表某人
behave	v. 表现， 举止； 运转， 作出反应
behavior	n. 行为， 举止， 表现
behind	prep. 在…后面
being	n. 存在； 生物， 生命
belief	n. 信任， 相信； 信念
believe	v. 相信；认为
bell	n. 钟，铃，门铃；钟声
belong	v. 属于
beloved	adj. 为…所爱的 n. 爱人
below	prep. 在…下面（以下）
belt	n. 带，腰带；皮带；区
bench	n. 长凳，条凳
bend	v. 使弯曲；弯曲
beneath	adv. 在下方， 在底下 prep. 在…下方；低于，次于；在…掩盖下；连…也不值得，有失…的身份
beneficial	adj. 有利的， 有益的
benefit	v. 有益于； 得益 n. 利益，恩惠；救济金，保险金，津贴
berry	n. 浆果（如草莓等）
beside	prep. 在…旁边
besides	adv. 而且 prep. 除…之外
best	adj. 最好的；最大的
bet	vt. 打赌；敢说，确信 n. 打赌； 赌金， 赌注
betray	v. 背叛；辜负；泄漏
better	adj. 较好的 adv. 更好地
between	prep. 在…中间
beyond	adv. 在更远处， 再往后 prep. 在…的那边，远于；迟于；越出
Bible	n. 基督教《圣经》
bicycle	n. 自行车，脚踏车
bid	n. 企图，努力；喊价，出价，投标 vt. 喊价， 投标， 出； 祝， 表示； 命令
big	adj. 大的，巨大的
bike	n. 自行车 v. 骑自行车
bill	n. 账单；票据；招贴
billion	num. 万亿（英）
bind	vt. 捆绑， 包扎； 装订； 约束； 使结合， 使黏合
biological	adj. 生物的
biology	n. 生物学， 生态学
biotechnology	n. 生物工艺学
bird	n. 鸟，禽
birth	n. 分娩，出生；出身
birthday	n. 生日；诞生的日期
biscuit	n. （英）饼干；（美）软饼
bit	n. 一点，一些，小片
bite	v. 咬；咬，叮，螫；剌穿
bitter	adj. 痛苦的；严寒的
bitterly	adv. 苦苦地；悲痛地
black	adj. 黑色的；黑暗的
blackboard	n. 黑板
blade	n. 刀刃， 刀片， 叶片
blame	v. 责备，把…归咎于
blank	adj. 空白的；茫然的，无表情的 n. 空白； 空白表格
blanket	n. 毛毯， 毯子， 羊毛毯
blast	n. 爆炸，冲击波；一阵 vt. 炸
blaze	n. 火；闪光 v. 燃烧
bleed	vi. 出血， 流血； 泌脂 vt. 勒索…的钱
blend	v. 混和 n. 混和物
bless	v. 保佑，祝福
blind	adj. 瞎的；盲目的
block	n. 街区 v. 堵塞，拦阻
blood	n. 血，血液；血统
bloody	adv. [用于加强语气]非常，很 adj. [用于加强语气]非常的；该死的；流血的；嗜杀的 vt. 血染
bloom	v. 开花 n. 花，开花，开花期；青春焕发
blossom	n. 花；开花 v. 开花
blow	v. 吹；吹动；吹响
blue	adj. 蓝色的 n. 蓝色
board	vi. 搭伙； 膳宿 n. 板，牌子；木板，纸板；委员会，董事会；伙食 vt. 上
boast	vi. 自夸；自豪 vt. 自夸，吹嘘；以拥有…而自豪 n. 自吹自擂， 自夸的话
boat	n. 小船，艇
body	n. 身体；尸体；主体
bogus	adj. 假冒的
boil	v. 沸腾；汽化；煮沸
bold	adj. 勇敢的； 鲁莽的； 粗体的， 黑体的； 醒目的
bolt	n. 螺栓，插销 vt. 闩门
bomb	n. 炸弹 v. 轰炸
bond	v. 黏合， 结合 n. 联结，联系；公债；契约，合同
bone	n. 骨，骨骼
book	n. 书，书籍 v. 预定
boom	vi. 激增， 繁荣， 迅速发展； 发出隆隆声 n. 激增，繁荣，迅速发展；隆隆声，嗡嗡声
boost	vt. 提高，使增长；推动，激励；替…做广告，宣扬 n. 提高， 增长； 推动， 激励
boot	n. 靴子， 长筒靴； 行李箱； 解雇
booth	n. 公用电话亭；货摊
border	n. 边，边缘，边界 vt. 给…加上边， 围； 邻接； 与…接壤
bore	vt. 使厌烦；钻，挖 n. 令人讨厌的人
boring	adj. 令人厌烦的， 乏味的， 无聊的
born	adj. 天生的；出生的
borrow	v. 借，借用，借人
bosom	n. 胸，胸部；内心
boss	n. 老板，上司 v. 指挥
both	pron. 两者（都）
bother	v. 烦扰，迷惑 n. 麻烦
bottle	n. 瓶，酒瓶；一瓶
bottom	n. 底，底部，根基
bough	n. 树枝
bounce	v. 弹起，反弹；颠簸 n. 弹， 反弹
bound	vi. 跳跃；弹回，反跃 adj. 一定的；有义务的 vt. 跳跃；弹回，反跃；成为…的界限，给…划界 n. 跳跃； 界限， 限制
boundary	n. 分界线， 边界
bow	n. 鞠躬；弓；蝴蝶结
bowl	n. 碗，钵；碗状物
box	n. 箱，盒；包厢
boy	n. 男孩，少年；家伙
bracket	n. 括号 vt. 把…归为同一类
brain	n. 脑，脑髓；脑力
brake	v. 制动； 刹住， 用闸使放慢速度 n. 闸，刹车
branch	n. 树枝；分部；分科
brand	n. 品牌；烙印 vt. 铭刻， 打烙印于； 加污名于， 谴责
brandy	n. 白兰地酒
brass	n. 黄铜， 黄铜器， 铜管乐器
brave	adj. 勇敢的； 华丽的
bread	n. 面包；食物，粮食
breadth	n. 宽度； 幅度， 幅面
break	v. 打破；损坏；破坏
breakdown	n. 垮， 衰竭； 损坏， 故障； 倒塌
breakfast	n. 早饭，早餐
breakthrough	n. 突破
breast	n. 乳房； 胸脯， 胸膛
breath	n. 气息，呼吸
breathe	v. 呼吸
breed	v. 繁殖； 养育， 培育； 酿成， 产生 n. 品种
breeze	vi. 飘然而行 n. 微风，和风
brick	n. 砖， 砖块， 砖状物
bride	n. 新娘
bridge	n. 桥，桥梁；桥牌
brief	adj. 简短的，短暂的 vt. 向…介绍基本情况，做…的提要 n. 概要， 摘要
bright	adj. 明亮的；聪明的
brighten	v. 使发光；使快活
brilliant	adj. 光辉的； 卓越的
brim	n. 边，边缘；帽沿
bring	v. 带来；引出；促使
brisk	adj. 活泼的；清新的
bristle	n. 短而硬的毛；鬃毛
Britain	n. 不列颠，英国
British	adj. 不列颠的，英联邦的
brittle	adj. 脆的；易损坏的
broad	adj. 宽的，阔的；广泛的
broadcast	n. 广播，播音
broken	adj. 被打碎的；骨折的
bronze	n. 青铜；青铜制品
brood	n. 同窝幼鸟 v. 孵（蛋）
brook	n. 小河，溪流
broom	n. 扫帚
brother	n. 兄弟；同事，同胞
brow	n. 额， 眉， 眉毛
brown	n. 褐色，棕色
bruise	n. 青肿，伤痕；擦伤
brush	n. 刷子，毛刷；画笔
brute	n. 禽兽，畜生
bubble	vi. 冒泡； 沸腾 n. 泡
bucket	n. 水桶， 吊桶； 铲斗
bud	n. 芽，萌芽；蓓蕾
budget	v. 规划，安排；编预算 adj. 低廉的， 收费公道的 n. 预算，预算拨款
build	v. 建筑；建立；创立
building	n. 建筑物，大楼；建筑
bulb	n. 电灯泡， 球状物
bulk	vi. 变得越来越大； 使更大 n. 物体；体积；大批
bull	n. 公牛；雄的象
bullet	n. 枪弹， 子弹， 弹丸
bump	vi. 碰，撞；颠簸着前进 n. 碰撞， 猛撞； 肿块； 隆起物
bunch	vi. 集中， 挤在一起； 形成一束 n. 群，伙；束，串，捆 vt. 使成一束
bundle	n. 捆，包，束；包袱 vt. 收集， 归拢； 把…塞入
burden	n. 重担，精神负担 vt. 加重压于， 烦扰； 负担， 装载
bureau	n. 局， 司， 处， 社， 所
burn	v. 烧，燃烧 n. 烧伤
burst	vi. 爆裂，爆炸；挤满；突然打开；突然发作 vt. 使爆炸；突然打开 n. 爆炸
bury	v. 埋葬，葬；埋藏
bus	n. 公共汽车
bush	n. 灌木，灌木丛，矮树
business	n. 商业，生意；事务；事务
busy	adj. 忙的；繁忙的
but	conj. 但是，可是
butcher	n. 肉商，肉贩，屠夫 vt. 屠宰， 残杀
butter	n. 黄油；奶油
butterfly	n. 蝴蝶
button	n. 扣子；按钮 v. 扣紧
buy	v. 买，购买
by	prep. 在…旁；被，由
cabbage	n. 洋白菜， 卷心菜
cabin	n. 小屋； 船舱， 机舱
cabinet	n. 橱， 柜； 内阁
cable	n. 缆， 索， 电缆； 电报
cafe	n. 咖啡馆；小餐厅
cafeteria	n. 自助食堂
cage	n. 笼；鸟笼，囚笼
cake	n. 饼，糕，蛋糕
calculate	vt. 计算； 估计； 计划
calculation	n. 计算，计算结果
calculator	n. 计算器， 计算者
calendar	n. 日历， 历书， 历法
call	v. 把…叫做；叫，喊
calm	adj. 静的，平静的 v. 平静， 镇静
camel	n. 骆驼
camera	n. 照相机，摄影机
camp	n. 野营，营地，兵营
campaign	vi. 参加运动； 参加竞选 n. 战役；运动
campus	n. 校园， 学校场地
can	n. 罐头，听头；容器
Canada	n. 加拿大
Canadian	adj. 加拿大的
canal	n. 运河， 沟渠； 管
cancel	vt. 取消， 撤销； 删去
cancer	n. 癌， 癌症； 肿瘤
candidate	n. 候选人； 投考者， 申请求职者
candle	n. 蜡烛
candy	n. 糖果
cannon	n. 大炮，火炮；榴弹炮
canoe	n. 独木舟，皮艇，划子
canteen	n. 小卖部；临时餐室
canvas	n. 粗帆布；一块油画布
cap	n. 帽子，便帽；帽状物
capable	adj. 有能力的， 有才能的
capacity	n. 容量； 能力， 才能； 能量； 身份， 地位
capital	n. 首都；资本，资金
captain	n. 陆军上尉；队长
captive	n. 俘虏，被监禁的人
capture	vt. 捕获， 俘获； 夺得
car	n. 汽车，小汽车，轿车
carbon	n. 碳
card	n. 卡；卡片；名片
care	v. 介意；关心 n. 小心
career	n. 生涯， 职业， 经历
careful	adj. 仔细的；细致的
caregiver	n. 照料者
careless	adj. 粗心的；漫不经心的
cargo	n. 船货， 货物
carpenter	n. 木工， 木匠
carpet	n. 地毯，毡毯，毛毯
carriage	n. 客车厢， 四轮马车
carrier	n. 运输工具， 运载工具； 带菌者； 载重架， 置物架
carrot	n. 胡萝卜
carry	v. 携带；运载；传送
cart	n. 二轮运货马车
cartoon	n. 卡通画， 幽默画； 动画片， 卡通片
carve	v. 刻，雕刻；切开
case	n. 情况；病例；事实
cash	n. 现金，现款 vt. 把…兑现
cashier	n. 出纳
cassette	n. 盒式录音带
cast	vt. 投，扔，抛；浇铸 n. 演员表， 全体演员； 石膏绷带； 铸型， 铸件； 投， 抛
castle	n. 城堡；巨大建筑物
casual	adj. 偶然的； 非正式的； 临时的， 不定期的； 漠不关心的， 冷淡的
cat	n. 猫，；猫科动物
